COUNTRY,onpremisenum,variesby,NOTES
Antigua and Barbuda,16,none,
Burundi,16,none,
Cuba,16,none,
Dominica,16,none,
Gambia,16,none,
Grenada,16,none,
Luxembourg,16,none,
Saint Vincent,16,none,
San Marino,16,none,
Malta,17,none,
Albania,18,none,
Algeria,18,none,
Andorra,18,none,
Argentina,18,none,
Armenia,18,none,
Australia,18,none,
Azerbaijan,18,none,
Bahamas,18,none,
Belarus,18,none,
Belize,18,none,
Bermuda,18,none,
Bhutan,18,none,
Bolivia,18,none,
Bosnia and Herzegovina,18,none,
Botswana,18,none,
Brazil,18,none,
Bulgaria,18,none,
Cabo Verde,18,none,
Cayman Islands,18,none,
Chile,18,none,
China,18,none,
Colombia,18,none,
Costa Rica,18,none,
Croatia,18,none,
Cyprus,18,none,
Czechia,18,none,
Denmark,18,none,
Dominican Republic,18,none,
Ecuador,18,none,
El Salvador,18,none,
Eritrea,18,none,
Estonia,18,none,
Ethiopia,18,none,
Fiji,18,none,
Finland,-1,beverage,18 for beverages up to 22% ABV; 20 for other beverages
France,18,none,
Gabon,18,none,
Georgia,18,none,
Ghana,18,none,
Greece,18,none,
Guatemala,18,none,
Honduras,18,none,
Hungary,18,none,
Ireland,18,none,
Israel,18,none,
Italy,18,none,
Jamaica,18,none,
Jordan,18,none,
Kenya,18,none,
Kyrgyzstan,18,none,
Lao People's Democratic Republic,18,none,
Latvia,18,none,
Lebanon,18,none,
Lesotho,18,none,
Liberia,18,none,
Lithuania,18,none,
Macedonia,18,none,
Malawi,18,none,
Mauritius,18,none,
Mexico,18,none,
Moldova,18,none,
Monaco,18,none,
Montenegro,18,none,
Mozambique,18,none,
Myanmar,18,none,
Namibia,18,none,
Nepal,18,none,
Netherlands,18,none,
Nicaragua,18,none,
Niger,18,none,
Niue,18,none,
Panama,18,none,
Papua New Guinea,18,none,
Peru,18,none,
Philippines,18,none,
Poland,18,none,
Portugal,18,none,
Romania,18,none,
Russia,18,none,
Rwanda,18,none,
Saint Kitts and Nevis,18,none,
Saint Lucia,18,none,
Senegal,18,none,
Serbia,18,none,
Seychelles,18,none,
Singapore,18,none,
Slovakia,18,none,
Slovenia,18,none,
South Africa,18,none,
Suriname,18,none,
Swaziland,18,none,
Sweden,-1,beverage,"18 for beer of 3.5% ABV or lower, 20 otherwise"
Tajikistan,18,none,
Tanzania,18,none,
Trinidad and Tobago,18,none,
Turkey,18,none,
Turkmenistan,18,none,
Ukraine,18,none,
Uruguay,18,none,
Vanuatu,18,none,
Venezuela,18,none,
Vietnam,18,none,
Zimbabwe,18,none,
Benin,20,none,
Iceland,20,none,
Japan,20,none,
Paraguay,20,none,
Thailand,20,none,
Uzbekistan,20,none,
Egypt,21,none,
Kazakhstan,21,none,
Kiribati,21,none,
