,,,,
COUNTRY,ON-PREMISE,OFF-PREMISE,NOTES,LEGISLATION
Afghanistan,[illegal],[illegal],,Law to Fight Against Alcoholic Beverages and Narcotic Substances and to Control Them
Albania,18,18,,Law 9518 of 18 April 2006 For the protection of minors from the use of alcohol
Algeria,18,18,,Order No. 26-75 of 1975 Art 14
Andorra,18,18,,Decree 16-6-2004 Approving Regulation of Sale and Consumption of Alcoholic Beverages
Antigua and Barbuda,16,[none],,Licensing (intoxicating liquor) Act Ch 249
Argentina,18,18,,"Law No24.788 Combatting Alcoholism, published in Official Bulletin 3rd April 1997"
Armenia,18,18,,Code of Administrative Offences Art 158
Australia,18*,18*,Regulated at state / territory level. Exceptions may apply if accompanied by a responsible adult.,"Capital Territory: Liquor Act 2010 

New South Wales: Liquor Act 2007 

Northern Territory: Liquor Act 

Queensland: Liquor Act 1992 

South Australia: Liquor Licensing Act 1997 

Tasmania: Liquor Licensing Act 1990, Sale or Supply of Alcohol to Youths (Police Offences Act 1935) 

Victoria: Liquor Control Reform Act 1998 

Western Australia: Liquor Control Act 1988"
Austria,[varies by beverage and jurisdiction],[varies by jurisdiction and by beverage],"Both on- and off-premise: 18 for spirits and mixed drinks containing spirits; 16 for beer, wine, champagne 

Burgenland, Lower Austria, Upper Austria, Styria, Salzburg, Tyrol, Vorarlberg and Vienna specifically prohibit serving alcoholic beverages to those under 16 years of age",National Youth Protection Act 2002
Azerbaijan,18,18,,Law on Children's Rights Art 9
Bahamas,18,18,,Liquor Licences Act Ch 372: 22
Bahrain,[illegal],[illegal],,Penal Code 1976 as amended through 2010 Art 307
Bangladesh,[varies by religion],[varies by religion],Alcohol may not be purchased by Muslims.,"Narcotics Control Act, 1990"
Belarus,18,18,,"Law No. 429-Z on State Regulation of Production and Turnover of Alcoholic, Non-food Alcohol-containing Products and Non-food Ethyl Alcohol Art 11.4"
Belgium,[varies by beverage],[varies by beverage],"Both on- and off-premise: 18 for spirits, 16 for other alcohol beverages",Act of 24 January 1977 on the protection of consumer health concerning food and other products (as amended through 2009) Art 6
Belize,18,18,,"Intoxicating Liquor Licensing Law CAP. 150, as revised December 2000"
Benin,20,20,,"Decree of 10 June 1942 regulating the production, import, advertisement, sale and consumption of alcoholic beverages in French West Africa, as cited in Republic of Benin Report to UN Committee on the Rights of the Child CRC/C/BEN/2, 24 November 2005"
Bermuda,18,[none],,Liquor License Act 1974 (amended 2014) Art 42
Bhutan,18,18,,"Rules and Regulations For Establishment And Operation of Industrial And Commercial Ventures in Bhutan 1995, Rule 17 

Notification No. Kha(12-7)/89/5070 dated 26 April 1993"
Bolivia,18,18,,"Law 259 Against the Sale and Consumption of Alcoholic Beverages, July 2012 Art 20"
Bosnia and Herzegovina,18,18,,Law on Amendments to the Law on Trade (Off. Nov. No. 103/03) Art 1
Botswana,18,18,,Liquor Act No.9 of 2004 Art 32
Brazil,18,18,,"Presidential Amendment 13,106 of 17 March 2015 of 

Law 8096 (1990) Statute on Children and Adolescents Art. 243 

Decree-Law 3,688 (1941) Law on Criminal Misdemeanors"
Brunei,[illegal],[illegal],"Non-Muslims over 17 years of age are allowed to import alcohol not to exceed maximum total volume 2 liters of liquor and 12 cans of beer at 330 ml for personal use, once in 48 hours. This alcohol must be “stored and consumed at the place of residence of the importer” and is “not to be given, transferred or sold to another person.”","Liquor Form, Royal Customs and Excise Department, Ministry of Finance"
